play_id,game_id,season,week,season_type,home_team,away_team,play_deleted,touchdown,pass_touchdown,rush_touchdown,return_touchdown,interception,fumble,fumble_lost,kickoff_attempt,punt_attempt,punt_blocked,field_goal_attempt,extra_point_attempt,two_point_attempt,defensive_two_point_conv,defensive_extra_point_conv,safety,special,special_teams_play,play_type,play_type_nfl,posteam,defteam,td_team,td_player_id,return_team,fumble_recovery_1_team,fumble_recovery_2_team,fumbled_1_team,fumbled_2_team,field_goal_result,extra_point_result,two_point_conv_result,st_play_type,posteam_score,defteam_score,posteam_score_post,defteam_score_post
3104,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3131,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
3154,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
3179,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
3204,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
3227,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3265,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
3290,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,punt,PUNT,CLE,PIT,,,PIT,,,,,,,,,22,19,22,19
3308,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,PIT,CLE,,,,,,,,,,,,19,22,19,22
3335,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,PIT,CLE,,,,,,,,,,,,19,22,19,22
3362,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,PIT,CLE,,,,,,,,,,,,19,22,19,22
3384,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,PIT,CLE,,,,,,,,,,,,19,22,19,22
3406,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,PIT,CLE,,,,,,,,,,,,19,22,19,22
3456,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_play,TIMEOUT,,,,,,,,,,,,,,,,,
3463,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,punt,PUNT,PIT,CLE,,,CLE,,,,,,,,,19,22,19,22
3482,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3509,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
3534,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,,,,,,,,,,,,,,,,,0,0,,END_QUARTER,CLE,PIT,,,,,,,,,,,,22,19,22,19
3554,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
3618,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3640,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
3672,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3694,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3716,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3738,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3760,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3793,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_play,PENALTY,CLE,PIT,,,,,,,,,,,,22,19,22,19
3826,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,PIT,,CLE,,,,,,22,19,22,19
3867,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,PIT,CLE,,,,,,,,,,,,19,22,19,22
3890,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,PIT,CLE,,,,,,,,,,,,19,22,19,22
3912,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,SACK,PIT,CLE,,,,,,,,,,,,19,22,19,22
3932,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,punt,PUNT,PIT,CLE,,,CLE,,,,,,,,,19,22,19,22
3952,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
3981,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,22,19,22,19
